row_index,user_id,claim_object,row_exact_match,mismatched_fields,mismatch_detail,claim_extraction_confidence,image_ids
0,user_001,car,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""dent"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""rear_bumper"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""medium"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.0}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1
1,user_002,car,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""scratch"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""front_bumper"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""low"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.0}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1;img_2
2,user_004,car,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""crack"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""windshield"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""medium"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.0}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1;img_2
3,user_007,car,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""broken_part"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""side_mirror"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""medium"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.0}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1
4,user_005,car,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""contradicted"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""scratch"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""rear_bumper"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""low"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [""claim_mismatch"", ""manual_review_required"", ""user_history_risk""], ""predicted"": [""damage_not_visible"", ""manual_review_required"", ""user_history_risk""], ""jaccard"": 0.5}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1;img_2
5,user_006,car,False,object_part;risk_flags,"{""object_part"": {""expected"": ""headlight"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [""damage_not_visible"", ""wrong_angle""], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.33}}",low,img_1
6,user_003,car,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""dent"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""door"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""medium"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [""blurry_image""], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.0}, ""supporting_image_ids"": {""expected"": [""img_2""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1;img_2
7,user_008,car,False,claim_status;evidence_standard_met;valid_image;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""contradicted"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""valid_image"": {""expected"": false, ""predicted"": true}, ""issue_type"": {""expected"": ""broken_part"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""front_bumper"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""high"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [""claim_mismatch"", ""manual_review_required"", ""non_original_image"", ""user_history_risk""], ""predicted"": [""damage_not_visible"", ""manual_review_required"", ""user_history_risk""], ""jaccard"": 0.4}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1
8,user_009,laptop,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""crack"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""screen"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""medium"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.0}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1
9,user_010,laptop,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""broken_part"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""hinge"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""medium"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.0}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1;img_2
